s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
54.9443949, 89617.5036857, 43148.5492007, 0.5842201, -0.0134350, 13.6753024, -6.8561470
55.9433839, 89616.9615683, 43149.3829364, 0.5678587, -0.0194092, 13.1649332, -6.5954066
56.9423729, 89616.4320029, 43150.2329097, 0.5455827, -0.0249936, 12.6545639, -6.1727152
57.9413619, 89615.9244554, 43151.0947969, 0.5178844, -0.0306970, 12.1575096, -5.7126844
58.9403509, 89615.4460782, 43151.9672640, 0.4841223, -0.0371720, 11.6786652, -5.4831605
59.9393399, 89614.9972847, 43152.8631692, 0.4435706, -0.0437790, 11.1998209, -5.3548336
60.9383289, 89614.5886301, 43153.7769300, 0.3963802, -0.0505972, 10.7115427, -5.3185020
61.9373179, 89614.2295390, 43154.7024096, 0.3427483, -0.0573530, 10.2034748, -5.0601078
62.9363069, 89613.9217018, 43155.6535043, 0.2822856, -0.0634441, 9.6954068, -5.0071473
63.9352959, 89613.6726126, 43156.6316040, 0.2157032, -0.0670548, 9.1649737, -5.7214116
64.9342849, 89613.4889008, 43157.6292468, 0.1486920, -0.0659649, 8.5185380, -5.3031095
65.9332739, 89613.3735672, 43158.6275551, 0.0805734, -0.0706085, 7.8721022, -4.8848074
66.9322629, 89613.3301051, 43159.6020701, 0.0066652, -0.0823689, 7.2256664, -1.2926186
67.9312518, 89613.3756956, 43160.6883303, -0.0953114, -0.1089511, 7.0446882, -1.2234251
68.9302408, 89613.5299862, 43161.6647829, -0.2275215, -0.1668764, 6.8690069, -1.2115070
69.9292298, 89613.8270026, 43162.5536607, -0.4355797, -0.2737943, 6.6904926, -1.2212982
70.9282188, 89614.3602238, 43163.3772368, -0.7092978, -0.2476832, 6.5055795, -0.9433483
71.9272078, 89615.0726227, 43164.0582182, -0.8835194, -0.1176649, 6.3590703, -0.2104041
72.9261968, 89615.8839441, 43164.6570658, -0.9806773, -0.0830164, 6.3259302, -0.1338926
73.9251858, 89616.7354139, 43165.1785841, -1.0624275, -0.0905130, 6.3047504, 1.9010958
74.9241748, 89617.6370692, 43165.6044728, -1.2183979, -0.2179726, 6.5991079, 1.9952557
75.9231638, 89618.6025707, 43165.8353185, -1.4559660, -0.2319261, 6.8945415, 2.5116331
76.9221528, 89619.4956745, 43165.8506387, -1.6455063, -0.1928893, 7.2493372, 2.6376405
77.9211418, 89620.5075141, 43165.6800550, -1.8236337, -0.1550328, 7.6041329, 2.3931813
78.9201308, 89621.4960556, 43165.3441166, -1.9652640, -0.1097203, 7.9122918, 2.0562439
79.9191198, 89622.3864951, 43164.9224177, -2.0559359, -0.0789769, 8.1677837, 2.1215861
80.9181088, 89623.2750783, 43164.4099871, -2.1299653, -0.0678297, 8.4232757, 2.1464225
81.9170978, 89624.1240947, 43163.8368769, -2.1995954, -0.0704136, 8.6741039, 1.8748020
82.9160868, 89624.9313093, 43163.2020835, -2.2760812, -0.0779529, 8.8874007, 1.9203436
83.9150758, 89625.6602553, 43162.5302560, -2.3553062, -0.0809900, 9.1006975, 1.9658852
84.9140648, 89626.3221247, 43161.8154940, -2.4334959, -0.0785780, 9.3139944, 1.9683988
85.9130538, 89626.9413445, 43161.0341352, -2.5081161, -0.0710352, 9.5227784, 2.0081006
86.9120428, 89627.5052702, 43160.2082973, -2.5756914, -0.0642694, 9.7311587, 2.0515668
87.9110318, 89628.0139005, 43159.3497057, -2.6369290, -0.0586267, 9.9395390, 2.3179762
88.9100208, 89628.4723795, 43158.4610257, -2.6926164, -0.0524139, 10.1698427, 2.4244933
89.9090098, 89628.8829893, 43157.5513306, -2.7413778, -0.0451813, 10.4052768, 2.4799787
