s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
54.8776735, 89617.2329666, 43148.9542420, 0.5819070, -0.0156008, 13.9404678, -7.3788710
55.8754494, 89616.6927734, 43149.7914677, 0.5629958, -0.0222821, 13.4019298, -7.0882013
56.8732253, 89616.1671016, 43150.6474333, 0.5374532, -0.0284664, 12.8633919, -6.3258394
57.8710012, 89615.6726298, 43151.5066334, 0.5057863, -0.0355358, 12.3629815, -6.0304680
58.8687771, 89615.2060085, 43152.3881149, 0.4667248, -0.0427959, 11.8663052, -5.7832308
59.8665529, 89614.7748330, 43153.2945233, 0.4200788, -0.0501436, 11.3696290, -5.4506713
60.8643288, 89614.3937528, 43154.2107429, 0.3673326, -0.0558134, 10.8807797, -5.1917190
61.8621047, 89614.0632569, 43155.1487986, 0.3093368, -0.0607013, 10.3937973, -4.9540385
62.8598806, 89613.7878253, 43156.1133760, 0.2462447, -0.0649272, 9.9068149, -5.7463784
63.8576565, 89613.5737947, 43157.1024784, 0.1801889, -0.0642793, 9.3100906, -5.9308181
64.8554323, 89613.4249832, 43158.1027698, 0.1149605, -0.0655977, 8.6511578, -5.4956579
65.8532082, 89613.3442174, 43159.0915617, 0.0468549, -0.0728114, 7.9922251, -3.6869963
66.8509841, 89613.3371259, 43160.1230734, -0.0360991, -0.0904199, 7.5178501, -1.9053145
67.8487600, 89613.4299798, 43161.1634528, -0.1489489, -0.1312805, 7.2605728, -1.8389753
68.8465359, 89613.6337259, 43162.0713634, -0.3059722, -0.2191056, 7.0032954, -1.0063509
69.8443118, 89614.0458488, 43162.9625531, -0.5717885, -0.2893648, 6.8584197, -0.7650721
70.8420876, 89614.6717696, 43163.7054780, -0.8094800, -0.1768510, 6.7461975, -0.6712676
71.8398635, 89615.4359021, 43164.3410999, -0.9317843, -0.0946797, 6.6461742, -0.6292631
72.8376394, 89616.2756380, 43164.9090390, -1.0183489, -0.0819055, 6.5510231, 0.0777881
73.8354153, 89617.1503135, 43165.3947711, -1.1218153, -0.1555653, 6.5628602, 0.8019818
74.8331912, 89618.0665868, 43165.7327501, -1.3286523, -0.2482023, 6.6836764, 1.6051426
75.8309671, 89618.9963713, 43165.8520940, -1.5520240, -0.2172382, 6.9191528, 2.5638202
76.8287429, 89619.9432785, 43165.7784437, -1.7381046, -0.1749854, 7.2794857, 2.6939494
77.8265188, 89621.0062592, 43165.5005421, -1.9075416, -0.1348036, 7.6398185, 2.1944004
78.8242947, 89621.8920706, 43165.1332373, -2.0126908, -0.0893503, 7.9212289, 2.2367632
79.8220706, 89622.7856934, 43164.6647396, -2.0914215, -0.0699311, 8.1981366, 2.3136120
80.8198465, 89623.6593579, 43164.1226978, -2.1600524, -0.0656992, 8.4750443, 2.2889636
81.8176223, 89624.4946556, 43163.5212830, -2.2309320, -0.0729825, 8.7403730, 2.2865310
82.8153982, 89625.2657500, 43162.8743520, -2.3078115, -0.0790880, 8.9976115, 2.3528501
83.8131741, 89625.9650033, 43162.1878351, -2.3864190, -0.0804377, 9.2548499, 2.4615107
84.8109500, 89626.6093251, 43161.4474767, -2.4636751, -0.0756509, 9.5165287, 2.5984691
85.8087259, 89627.2068838, 43160.6471558, -2.5356204, -0.0685432, 9.7851775, 2.6708022
86.8065018, 89627.7478575, 43159.8083677, -2.6009248, -0.0624697, 10.0538262, 2.8671990
87.8042776, 89628.2347833, 43158.9386912, -2.6605819, -0.0571299, 10.3344601, 3.2785597
88.8020535, 89628.6721436, 43158.0414232, -2.7144221, -0.0505854, 10.6462952, 3.3760176
89.7998294, 89629.0630420, 43157.1249060, -2.7612764, -0.0433733, 10.9581303, 3.5541719
90.7976053, 89629.4140956, 43156.1920921, -2.8007761, -0.0359165, 11.2771075, 3.9993012
