s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
113.7087006, 89640.2669386, 43137.6540536, -1.7864713, 0.1557344, 7.5554962, -2.0424598
114.7061453, 89641.2542504, 43137.5109290, -1.6507685, 0.1089531, 7.2808682, -5.7819178
115.7035901, 89642.1749712, 43137.4724973, -1.5840712, 0.0745250, 6.4402449, -0.1926211
116.7010348, 89643.1554645, 43137.5313396, -1.4004120, 0.2920241, 6.4103429, -0.1926211
117.6984795, 89644.0852035, 43137.8415948, -1.1049206, 0.2428418, 6.3803008, 1.9235175
118.6959243, 89644.9313918, 43138.3791203, -0.9185972, 0.1566394, 6.6742373, -1.3526360
119.6933690, 89645.6827816, 43139.0557922, -0.7500359, 0.1987382, 6.4689322, -0.1943409
120.6908138, 89646.2537609, 43139.8346082, -0.4991655, 0.2894398, 6.4388971, -0.1943409
121.6882585, 89646.6129463, 43140.7540332, -0.2690182, 0.1563366, 6.4087212, 5.1074764
122.6857033, 89646.8117301, 43141.6830680, -0.1601985, 0.0999697, 7.1596479, 5.0597161
123.6831480, 89646.9217014, 43142.6701949, -0.0612908, 0.1021977, 7.8328879, 5.0124025
124.6805927, 89646.9262888, 43143.7321634, 0.0559881, 0.1210265, 8.4470895, 3.0298880
125.6780375, 89646.8081060, 43144.7358636, 0.1751849, 0.1069571, 8.7975913, 3.3589741
126.6754822, 89646.5843870, 43145.7117786, 0.2723452, 0.0879979, 9.1705177, 4.2053086
127.6729270, 89646.2759946, 43146.6619657, 0.3530465, 0.0743222, 9.6170433, 4.6925842
128.6703717, 89645.8947043, 43147.5930982, 0.4225055, 0.0635354, 10.0920121, 4.8225842
129.6678164, 89645.4569537, 43148.4942574, 0.4796113, 0.0499549, 10.5578990, 4.7774880
130.6652612, 89644.9816030, 43149.3607172, 0.5213427, 0.0341826, 10.9999905, 4.7328135
131.6627059, 89644.4753086, 43150.2135413, 0.5483112, 0.0229251, 11.4210871, 4.6885567
132.6601507, 89643.9462709, 43151.0597741, 0.5680829, 0.0166385, 11.8234675, 4.6447138
133.6575954, 89643.4045193, 43151.8952211, 0.5814125, 0.0101068, 12.2090161, 4.6012809
134.6550402, 89642.8542175, 43152.7252724, 0.5887470, 0.0057531, 12.5793132, 4.5582541
135.6524849, 89642.2984307, 43153.5530819, 0.5934446, 0.0036728, 12.9357000, 4.5156297
136.6499296, 89641.7391259, 43154.3795708, 0.5960780, 0.0016069, 13.2793267, 4.4734038
137.6473744, 89641.1786354, 43155.2049366, 0.5967210, -0.0001775, 13.6111889, 4.4315728
138.6448191, 89640.6185423, 43156.0300084, 0.5957991, -0.0016709, 13.9321556, 4.3901330
139.6422639, 89640.0595995, 43156.8563456, 0.5933886, -0.0031608, 14.2429909, 4.3490807
140.6397086, 89639.5033872, 43157.6842155, 0.5896470, -0.0039978, 14.5443709, 4.3084122
141.6371533, 89638.9506034, 43158.5140487, 0.5856095, -0.0041005, 14.8368977, 4.2681241
142.6345981, 89638.4008757, 43159.3466542, 0.5814678, -0.0042017, 15.1211100, 4.2282126
143.6320428, 89637.8547904, 43160.1813204, 0.5772645, -0.0041332, 15.3974928, 4.1886744
144.6294876, 89637.3123857, 43161.0178474, 0.5732816, -0.0038568, 15.6664842, 4.1495060
145.6269323, 89636.7727741, 43161.8571217, 0.5695711, -0.0035809, 15.9284818, 4.1107037
146.6243771, 89636.2363764, 43162.6979353, 0.5663297, -0.0023803, 16.1838479, 4.0722644
147.6218218, 89635.7023269, 43163.5393335, 0.5651945, 0.0000993, 16.4329136, -10.1073720
148.6192665, 89635.1674843, 43164.3817979, 0.5665244, 0.0025623, 15.8075160, -11.1628917
149.6167113, 89634.6303504, 43165.2229638, 0.5709373, 0.0083653, 15.0867102, -8.8646443
150.6141560, 89634.0864871, 43166.0585712, 0.5848920, 0.0196231, 14.4887832, -6.8605147
151.6116008, 89633.5259492, 43166.8839966, 0.6100876, 0.0308774, 14.0085285, -4.8996021
152.6090455, 89632.9421434, 43167.6892406, 0.6464794, 0.0427665, 13.6552080, -2.8513951
153.6064903, 89632.3278047, 43168.4650464, 0.6951195, 0.0552948, 13.4453147, -1.0403833
154.6039350, 89631.6663893, 43169.2122139, 0.7558569, 0.0660168, 13.3679108, -0.8299007
155.6013797, 89630.9482345, 43169.9229008, 0.8260827, 0.0677792, 13.3058438, -0.8299007
156.5988245, 89630.1812833, 43170.5861249, 0.8871667, 0.0538297, 13.2434859, 1.7366768
157.5962692, 89629.3871731, 43171.2001398, 0.9366531, 0.0455017, 13.3736456, 1.6546057
158.5937140, 89628.5884889, 43171.7616431, 0.9787191, 0.0409171, 13.4964867, -5.2066754
159.5911587, 89627.7440471, 43172.3066256, 1.0145704, 0.0286170, 13.1060448, -7.7175757
160.5886034, 89626.9041055, 43172.8160897, 1.0333471, 0.0090191, 12.5049070, -11.2083768
161.5860482, 89626.0539807, 43173.3213797, 1.0325171, -0.0105946, 11.5764082, -9.2344601
162.5834929, 89625.2134047, 43173.8327536, 1.0130437, -0.0286126, 10.7513487, -7.7881167
163.5809377, 89624.3666750, 43174.3816982, 0.9751273, -0.0467832, 10.0027530, -6.7333806
164.5783824, 89623.5357609, 43174.9787410, 0.9169788, -0.0654870, 9.3071326, -6.1213888
165.5758272, 89622.7376310, 43175.6379618, 0.8407543, -0.0836892, 8.6261940, -4.7287756
166.5732719, 89622.0311175, 43176.3314158, 0.7433090, -0.1165906, 8.0608832, -2.5574889
167.5707166, 89621.4137585, 43177.0989190, 0.6033286, -0.1623888, 7.7379539, -1.4488059
168.5681614, 89620.9075965, 43177.9932000, 0.4220354, -0.1898425, 7.5488888, -0.2646459
169.5656061, 89620.6041982, 43178.8816102, 0.2325760, -0.2125482, 7.5138395, -0.2646459
170.5630509, 89620.4763939, 43179.8514706, 0.0362403, -0.1727577, 7.4786258, 2.0755178
171.5604956, 89620.5117044, 43180.8506768, -0.0914325, -0.0814562, 7.7505015, 5.0184206
172.5579403, 89620.6351639, 43181.8015969, -0.1737190, -0.1103434, 8.3714675, 3.9384688
173.5553851, 89620.8700074, 43182.7755653, -0.3062316, -0.1506462, 8.8282658, -0.1064443
174.5528298, 89621.2544780, 43183.7193070, -0.4679922, -0.1504244, 8.8162312, -0.0562158
175.5502746, 89621.7571221, 43184.5635854, -0.6020449, -0.1260762, 8.8098688, 1.8509363
176.5477193, 89622.3838709, 43185.3637226, -0.7259228, -0.1202074, 9.0169952, 1.8452664
177.5451641, 89623.0940738, 43186.0714660, -0.8497372, -0.1279059, 9.2188559, -1.2034240
178.5426088, 89623.8733183, 43186.6725292, -0.9785699, -0.1324770, 9.0877173, -1.2465133
179.5400535, 89624.7402626, 43187.1758406, -1.1104607, -0.1291543, 8.9498575, -1.5332241
180.5374983, 89625.6870989, 43187.5715617, -1.2366407, -0.1145657, 8.7773195, -3.3632368
181.5349430, 89626.6781517, 43187.8522365, -1.3532855, -0.1163565, 8.3864207, -2.4115597
182.5323878, 89627.6542222, 43188.0058002, -1.4818107, -0.1510284, 8.0945202, -0.3042855
183.5298325, 89628.6699204, 43188.0064677, -1.6648712, -0.1848593, 8.0569374, -0.3042855
184.5272773, 89629.6624677, 43187.8276458, -1.8200825, -0.1064692, 8.0191786, 4.8518214
185.5247220, 89630.5465749, 43187.5762383, -1.8540273, 0.0035606, 8.6015157, 4.9531903
186.5221667, 89631.4443396, 43187.2943511, -1.9169043, -0.1253093, 9.1579004, 1.0975434
187.5196115, 89632.4103370, 43186.8635555, -2.0641220, -0.1301427, 9.2766706, 0.3969658
188.5170562, 89633.1790053, 43186.4038626, -2.1458741, -0.0643762, 9.3192553, 4.8928976
189.5145010, 89634.0123059, 43185.8314173, -2.1949589, -0.0365944, 9.8290035, 4.8471439
190.5119457, 89634.8772052, 43185.1861928, -2.2259857, -0.0223509, 10.3091623, 4.8018180
191.5093904, 89635.7021286, 43184.5418792, -2.2374164, 0.0016649, 10.7637318, -1.6056754
192.5068352, 89636.5081933, 43183.9146152, -2.2219773, 0.0299956, 10.6138955, -5.0292497
193.5042799, 89637.2871765, 43183.3456242, -2.1745534, 0.0726140, 10.1302508, -3.6462219
194.5017247, 89638.1646033, 43182.7979876, -2.0803229, 0.0923009, 9.7646388, -2.9773731
195.4991694, 89639.0570864, 43182.3482205, -1.9997526, 0.0628005, 9.4556142, -6.3114698
196.4966142, 89639.9062128, 43181.9809885, -1.9666374, 0.0234107, 8.7645853, -3.1644689
197.4940589, 89640.8141850, 43181.6325199, -1.8902824, 0.1300050, 8.3967369, -0.3274313
198.4915036, 89641.7956138, 43181.3898296, -1.7291041, 0.1717918, 8.3577509, -0.3274313
199.4889484, 89642.7362426, 43181.3119140, -1.5840413, 0.1364195, 8.3185823, 2.2355667
200.4863931, 89643.7384826, 43181.3644621, -1.4546800, 0.1248301, 8.5824542, 2.4599248
201.4838379, 89644.7732010, 43181.5550571, -1.3217418, 0.1271389, 8.8637350, 1.6429562
202.4812826, 89645.7132064, 43181.8522793, -1.2125346, 0.0956630, 9.0467295, 3.7869817
203.4787273, 89646.6355472, 43182.2442588, -1.1294130, 0.0712763, 9.4550476, 4.8809472
204.4761721, 89647.5296392, 43182.7027409, -1.0677137, 0.0521911, 9.9566498, 4.8353053
205.4736168, 89648.4092013, 43183.2130490, -1.0265124, 0.0282940, 10.4298022, 4.7900901
206.4710616, 89649.2589828, 43183.7389622, -1.0110581, 0.0021484, 10.8782570, 4.7452978
207.4685063, 89650.0893354, 43184.2551823, -1.0228510, -0.0269966, 11.3049909, 1.1879509
208.4659511, 89650.9402349, 43184.7565794, -1.0553315, -0.0372951, 11.4093229, -7.6517326
209.4633958, 89651.8095467, 43185.2269444, -1.0951922, -0.0425287, 10.7195284, -7.6115339
210.4608405, 89652.7205880, 43185.6713171, -1.1388088, -0.0433537, 9.9861965, -6.8460586
211.4582853, 89653.6293917, 43186.0632189, -1.1920010, -0.0645704, 9.2772296, -5.4761766
212.4557300, 89654.5774375, 43186.4008249, -1.2698861, -0.0915067, 8.6684845, -3.5606063
213.4531748, 89655.5438757, 43186.6471900, -1.3786745, -0.1287240, 8.2486124, -2.8042973
214.4506195, 89656.6271265, 43186.7831727, -1.5074712, -0.1030000, 7.9022366, -5.3749427
215.4480642, 89657.6382931, 43186.7980735, -1.6015978, -0.0848748, 7.1918653, -7.8329714
216.4455090, 89658.5645485, 43186.7339587, -1.6809362, -0.1201272, 6.0080791, -0.1676372
217.4429537, 89659.5256168, 43186.5267968, -1.9259362, -0.3355461, 5.9801837, -0.1676372
218.4403985, 89660.3136143, 43186.1160135, -2.1596239, -0.2334704, 5.9521575, 3.5624991
219.4378432, 89661.0732099, 43185.4690490, -2.3922970, -0.2292412, 6.5218840, 2.0498514
220.4352880, 89661.7038889, 43184.6078132, -2.6150658, -0.1683469, 6.8281914, -1.0931472
221.4327327, 89662.1493546, 43183.6762353, -2.7735823, -0.1537559, 6.6665951, -1.4626246
222.4301774, 89662.4202814, 43182.7484134, -2.9573799, -0.2584429, 6.4440450, -0.3208276
223.4276222, 89662.4575413, 43181.6819581, 3.0311125, -0.2351742, 6.3941927, -0.2916891
224.4250669, 89662.2975288, 43180.7928229, 2.9392033, -0.0297552, 6.3485284, -0.1871739
225.4225117, 89662.0449822, 43179.9094398, 2.7439089, -0.3005227, 6.3190523, -0.1871739
226.4199564, 89661.5291067, 43179.0330581, 2.5009274, -0.1606703, 6.2894380, 5.1145764
227.4174012, 89660.9171407, 43178.3140379, 2.3795353, -0.1103421, 7.0540800, 5.0667498
228.4148459, 89660.1419173, 43177.5890616, 2.2661736, -0.1084070, 7.7374189, 5.0193704
229.4122906, 89659.2803903, 43176.9547938, 2.1436419, -0.1116335, 8.3594701, 3.8714031
230.4097354, 89658.3929899, 43176.4485824, 2.0370034, -0.0984483, 8.8092997, 3.9962742
231.4071801, 89657.4847861, 43176.0448042, 1.9419912, -0.0942081, 9.2507236, 3.5369208
232.4046249, 89656.5559676, 43175.7322533, 1.8493477, -0.0854604, 9.6245339, 3.6494464
233.4020696, 89655.5660013, 43175.4842398, 1.7953375, -0.0142851, 9.9955938, 4.8316630
234.3995143, 89654.6191021, 43175.2604471, 1.8255360, 0.0783494, 10.4666389, 2.9032621
235.3969591, 89653.7098739, 43174.9756240, 1.9266550, 0.1021157, 10.7397494, -0.3189216
236.3944038, 89652.8136785, 43174.5974920, 2.0072007, 0.0636439, 10.7100888, 4.1619743
237.3918486, 89651.8922339, 43174.1377280, 2.0540546, 0.0289300, 11.0909279, -4.0470180
238.3892933, 89651.0231903, 43173.6677665, 2.0801157, 0.0317316, 10.7207895, -7.9827279
239.3867381, 89650.1621478, 43173.1663392, 2.1183960, 0.0452616, 9.9504104, -7.1986445
240.3841828, 89649.3077604, 43172.6148371, 2.1723285, 0.0614075, 9.2005526, -6.9136764
241.3816275, 89648.4620240, 43171.9890770, 2.2458026, 0.0764693, 8.4177282, -6.3054640
242.3790723, 89647.6748316, 43171.3007828, 2.3371903, 0.1023984, 7.6340974, -3.9719570
243.3765170, 89647.0212476, 43170.5957284, 2.4606428, 0.1641138, 7.0961841, -0.2338561
244.3739618, 89646.4773315, 43169.7679094, 2.6731135, 0.2405325, 7.0632366, -0.2338561
245.3714065, 89646.1361058, 43168.8457809, 2.8907506, 0.1770205, 7.0301347, 2.3796145
246.3688512, 89645.9605016, 43167.9259898, 3.0030836, 0.1243778, 7.3600178, -0.2515688
247.3662960, 89645.9038510, 43166.9666430, -3.1049199, 0.2235969, 7.3258453, -0.2515688
248.3637407, 89646.0637148, 43165.9453172, -2.8705762, 0.2015461, 7.2915127, 1.0353509
249.3611855, 89646.3876611, 43165.0606791, -2.7221347, 0.1263457, 7.4317945, 4.7628290
250.3586302, 89646.8592306, 43164.1506370, -2.6095105, 0.0987745, 8.0456750, 4.9965646
251.3560750, 89647.4309644, 43163.2820081, -2.5099429, 0.0952354, 8.6429440, 4.5357109
252.3535197, 89648.0543110, 43162.5093733, -2.4157353, 0.0939325, 9.1514328, 3.7407043
253.3509644, 89648.7483687, 43161.7964473, -2.3242083, 0.0895136, 9.5504457, 3.4078180
254.3484092, 89649.5056588, 43161.1458802, -2.2376300, 0.0869294, 9.8999613, 1.1549342
255.3458539, 89650.3027411, 43160.5744194, -2.1457968, 0.1002193, 10.0156478, -1.4893235
256.3432987, 89651.1671523, 43160.0762316, -2.0393890, 0.1126641, 9.8662133, -0.7664211
257.3407434, 89652.1002175, 43159.6712951, -1.9194859, 0.1219320, 9.7884237, -0.4616948
258.3381882, 89653.0242507, 43159.3940295, -1.8067103, 0.1121151, 9.7412632, -1.5204774
259.3356329, 89653.9992079, 43159.2148997, -1.6995876, 0.1042686, 9.5843114, -2.5952547
260.3330776, 89655.0143693, 43159.1367926, -1.5966059, 0.0982412, 9.3103050, -3.5901415
261.3305224, 89656.0633022, 43159.1626165, -1.4973261, 0.0901998, 8.9173899, -5.0881338
262.3279671, 89657.1061326, 43159.2892209, -1.4018420, 0.0948660, 8.3288402, -4.8035617
263.3254119, 89658.0768918, 43159.5059988, -1.2954388, 0.1250554, 7.7322056, -0.6802893
264.3228566, 89658.9656563, 43159.8255272, -1.1427747, 0.1984190, 7.6439454, -0.2997367
265.3203013, 89659.8969022, 43160.3777709, -0.9348829, 0.1592082, 7.6047327, -0.3558356
266.3177461, 89660.5953994, 43160.9478134, -0.8688452, -0.0498748, 7.5579169, -2.7252316
267.3151908, 89661.3011698, 43161.5321884, -0.8441376, 0.1841335, 7.1892678, -0.2400316
268.3126356, 89661.9814363, 43162.3080960, -0.5886001, 0.2343442, 7.1558881, -0.2400316
